Country,Corporate tax,Income Tax(lowest marginal rate),Income Tax(highest marginal rate)
Afghanistan,20,0,20
Albania,15,0,23
Algeria,26,0,35
American Samoa,44,4,6
Andorra,10,10,10
Angola,30,0,17
Anguilla,0,0,0
Argentina,35,9,35
Armenia,20,24,36
Aruba,25,7,58
Australia,30,0,47
Austria,25,0,55
Azerbaijan,20,14,25
Bahamas[28],0,0,0
Bahrain,0,0,0
Bangladesh[32],35,0,25
Barbados[34],5,25,38
Belarus[36],18,13,17
Belgium[32],29,25,50
Belize,0,0,25
Benin[citation needed],35,10,35
Bermuda,0,0,0
Bhutan,26,0,25
Bolivia,29,0,25
Bosnia and Herzegovina,10,10,10
Botswana,22,0,25
Brazil[32],34,0,27
Brunei,20,0,0
Bulgaria,10,10,10
Burkina Faso,27,0,25
Burundi[44],35,0,35
Cambodia,20,0,20
Cameroon[36],31,10,35
Canada,38,19,54
Cape Verde,25,16,27
Cayman Islands,0,0,0
Central African Republic,30,0,50
Chad,0,0,0
Chile[54],27,0,35
China[32],25,0,45
Colombia[36],33,0,35
Comoros,0,0,0
Cook Islands,30,18,30
Democratic Republic of the Congo,35,0,40
Congo,30,0,0
Costa Rica,30,0,25
Croatia[36],18,12,40
Cuba[65],30,15,50
Curaçao,22,9,46
Cyprus[32],12,0,35
Czech Republic[66][67],19,20,45
Denmark[71],22,39,55
Djibouti,0,0,0
Dominica,25,0,35
Dominican Republic,27,0,25
East Timor,0,0,0
Ecuador,25,0,35
Egypt[76],22,0,22
El Salvador,30,0,30
Equatorial Guinea,0,0,0
Eritrea,0,0,0
Estonia[32],0,20,20
Eswatini (Swaziland),27,33,33
Ethiopia,0,0,0
Falkland Islands,26,0,26
Federated States of Micronesia,0,0,0
Fiji,20,0,20
Finland,20,0,54
France,31,0,45
Gabon,35,5,35
Gambia,31,0,30
Germany,29,14,47
Georgia[82],0,20,20
Ghana,0,0,0
Gibraltar,10,17,40
Greece,28,22,45
Grenada,0,0,0
Guatemala[36],25,5,7
Guinea,0,0,0
Guinea-Bissau,0,0,0
Guyana[83],30,0,33
Guernsey,0,0,20
Haiti,30,0,30
Honduras,0,0,0
Hong Kong[88],16,0,15
Hungary,9,15,15
Iceland[36],20,0,46
India,25,0,42
Indonesia,25,5,30
Iran,25,0,35
Iraq,15,3,15
Ireland,12,20,52
Isle of Man,0,10,20
Israel,23,11,50
Italy,27,23,47
Ivory Coast,0,0,0
Jamaica,33,0,25
Japan[98],29,15,55
Jersey[32],0,0,20
Jordan[36],20,0,14
Kazakhstan[36],20,10,10
Kenya,30,10,30
Kiribati,0,0,0
Kuwait,0,0,0
North Korea[102],25,0,20
South Korea[36],24,6,42
Kyrgyzstan,0,0,0
Laos,0,0,0
Latvia,0,20,31
Lebanon[36],17,2,25
Lesotho,0,0,0
Liberia,25,0,0
Libya,0,0,0
Liechtenstein[109][110],12,3,24
Lithuania[citation needed],15,31,42
Luxembourg,29,6,52
Macau[32],12,0,12
Madagascar,0,0,0
Malawi,0,0,0
Malaysia[32],24,0,28
Maldives[120],15,0,15
Mali,0,0,0
Malta,10,0,35
Marshall Islands,0,0,12
Mauritania,0,0,0
Mauritius,15,15,15
Mexico[32],30,1,35
Moldova[32],12,12,12
Monaco,33,0,0
Mongolia,10,10,10
Montenegro,9,9,12
Montserrat,0,0,0
Morocco,31,0,20
Mozambique,0,0,0
Myanmar,0,0,0
Namibia,32,0,37
Nauru,0,0,0
Nepal,30,0,36
Netherlands,25,36,51
New Zealand,28,10,33
New Caledonia[140],30,0,40
Nicaragua,0,0,0
Niger,0,0,0
Nigeria,30,7,24
Niue,0,0,0
Norfolk Island,0,0,0
North Macedonia[32],10,10,18
Norway[142],23,0,23
Oman,15,0,0
